Subject_Number,Group,Expt Quarter,Age,Sex,Language Classification,LearningRate,Num_Lessons_Completed,Hint_Use_Java,Forum_Use_Java,Solution_Use_Java,Cheatsheet_Used,Help_Total_Java,Quiz_1_noretake,Quiz_2_noretake,Quiz_3_noretake,Quiz_4_noretake,Quiz_5_noretake,Quiz_7_noretake,Quiz_8_noretake,Quiz_9_noretake,Quiz_10_noretake,Quiz_11_noretake,Quiz_12_noretake,Quiz_13_noretake,Quiz_14_noretake,Quiz_15_noretake,Quiz_16_noretake,Quiz_1_retake,Quiz_2_retake,Quiz_3_retake,Quiz_4_retake,Quiz_5_retake,Quiz_7_retake,Quiz_8_retake,Quiz_9_retake,Quiz_10_retake,Quiz_11_retake,Quiz_12_retake,Quiz_13_retake,Quiz_14_retake,Quiz_15_retake,Quiz_16_retake,QuizACC_NoRetake_Java,QuizSD_NoRetake_Java,QuizACC_Retake_Java,QuizSD_Retake_Java,ExamMC_OverallACC,ExamMC_AllSemanticsACC,ExamMC_AllSyntaxACC,TotalExperiencedCount,TotalExperiencedACC,SemTotalExperiencedACC,SynTotalExperiencedACC,Total_InexperiencedCount,Total_InxperiencedACC,SemTotalInexperiencedACC,SynTotalInexperiencedACC,Droid_Coding_Score,Droid_Coding_ACC,Droid_Debug_Count,Droid_Debug_Penalty,Droid_Debug_Score,Droid_Debug_ACC,CarLoan_Coding_Score,CarLoan_Coding_ACC,CarLoan_Debug_Count,CarLoan_Debug_Penalty,CarLoan_Debug_Score,CarLoan_Debug_ACC,ForDigit-CorrTotal,ForDigit-Span,ForDigit-ReSpan,BackDigit-CorrTotal,BackDigit-Span,BackDigit-ReSpan,RR_Score,RR_Percentile,Comp_Score,Comp_ACC,PSS_ChooseA_ACC,PSS_AvoidB_ACC,PSS_All_ACC,PSS_TrainBlocksNum,PythonProf_AllCount,PythonProf_AllACC,PythonProf_AllSynCount,PythonProf_AllSynACC,PythonProf_AllSemCount,PythonProf_AllSemACC,OpSpan_AccErrorTotal,OpSpan_MathErrorTotal,OpSpan_SpeedErrorTotal,OpSpan_MathCorrect,OpSpan_OspanAbsoluteScore,OpSpan_OspanPartialScore,LEAPQ_LD1,LEAPQ_LD1Acquire,LEAPQ_LD1SpeakProf,LEAPQ_LD1UnderProf,LEAPQ_LD2,LEAPQ_LD2Acquire,LEAPQ_LD2SpeakProf,LEAPQ_LD2UnderProf,LEAPQ_LD3,LEAPQ_LD3Acquire,LEAPQ_LD3SpeakProf,LEAPQ_LD3UnderProf,Handedness,MLAT_I,MLAT_II,MLAT_III,MLAT_IV,MLAT_V,MLAT_Total,MLAT_ACC,MLAT_Percentile,Ravens_Score,NDV_Score,NDV_Percentile,Numeracy,LLAMA_B,LLAMA_F,LLAMA_Version,Simon_Con_RT,Simon_Incon_RT,Simon_Incon-Con_RT,Simon_Con_ACC,Simon_Incon_ACC,Simon_Incon-Con_ACC,Column14,Column15,Column16,Column17,Column18,Column19,Column20
28750,New Part - Python-First,SPR23,24,Male,Early Bilingual,1.926470588,15,9,5,2,0,16,0.77,0.62,1,0.9,0.85,1,0.83,0.71,0.83,0.88,0.57,0.88,0.33,1,99999,0.77,0.62,1,0.9,0.85,1,0.83,0.71,0.83,0.88,0.57,0.88,0.88,1,99999,0.797857143,0.18856456,0.837142857,0.132573844,0.82,0.76,0.88,50,0.82,0.76,0.88,0,99999,99999,99999,25,0.423728814,18,1,17,0.772727273,40,0.975609756,17,0,17,0.85,11,7,7.5,9,5,5,601,99,35,0.921052632,0.1875,0.3750,0.4000,6,99999,99999,99999,99999,99999,99999,0,2,2,0.9500,38,49,English,6,10,10,Taiwanese,4,10,10,Chinese,10,7,6,0.1111,41,21,20,19,14,115,0.598958333,45,0.7778,72,88,0.75,0.45,0.8,Online,567.0338983,555.3018868,-11.73201151,0.983333333,0.883333333,-0.1,,,,,,,
28751,New Part - Java-First,SPR23,18,Female,Early Bilingual,0.87254902,7,23,23,13,1,59,0.71,0.62,0.5,0.7,0.42,0.85,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.71,0.62,0.5,0.7,0.71,0.85,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.633333333,0.155391977,0.681666667,0.115830336,0.48,0.6,0.36,26,0.615384615,0.833333333,0.5,24,0.333333333,0.384615385,0.230769231,4,0.06779661,8,3,5,0.227272727,31,0.756097561,11,1,10,0.5,9,6,6,11,6,6.5,364,92,30,0.789473684,1.0000,0.7500,0.7333,1,99999,99999,99999,99999,99999,99999,2,3,1,0.9750,56,63,English,2,10,10,Hindi,1,9,10,Urdu,99999,99999,99999,0.5,23,25,19,13,24,104,0.541666667,30,0.3333,66,76,0.625,0.95,0.7,Online,612.5689655,612.7068966,0.137931034,0.966666667,0.966666667,0,,,,,,,
28752,New Part - Java-First,SPR23,19,Female,Monolingual,1.102941176,9,12,9,3,0,24,0.85,1,0.8,1,0.28,0.85,0.66,0.85,99999,99999,99999,99999,99999,99999,99999,0.85,1,0.8,1,0.71,0.85,0.66,0.85,99999,99999,99999,99999,99999,99999,99999,0.78625,0.231759574,0.84,0.120948631,0.68,0.72,0.64,32,0.875,1,0.866666667,18,0.333333333,0.3,0.3,14,0.237288136,16,0,16,0.727272727,29,0.707317073,15,0,15,0.75,4,3,5,6,3,3.5,339,89,30,0.789473684,0.4375,0.5625,0.4833,4,99999,99999,99999,99999,99999,99999,3,4,1,0.9625,48,58,English,1,10,10,99999,99999,99999,99999,99999,99999,99999,99999,0.6842,31,21,21,16,13,102,0.53125,30,0.8889,59,57,0.875,0.65,0.85,Online,543.1186441,546.0338983,2.915254237,0.983333333,0.983333333,0,,,,,,,
28753,New Part - Java-First,SPR23,19,Female,Monolingual,0.960784314,7,12,7,0,0,19,1,0.75,0.9,0.7,0.71,0.85,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0.75,0.9,0.7,0.71,0.85,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.818333333,0.119233664,0.818333333,0.119233664,0.74,0.72,0.76,26,0.923076923,1,1,24,0.541666667,0.461538462,0.538461538,10,0.169491525,16,2,14,0.636363636,35,0.853658537,18,0,18,0.9,9,6,6.5,9,4,6,195,29,29,0.763157895,1.0000,0.8125,0.8833,6,99999,99999,99999,99999,99999,99999,2,3,1,0.9750,33,52,English,99999,10,10,99999,99999,99999,99999,99999,99999,99999,99999,0.5789,23,26,11,18,24,102,0.53125,30,0.7222,68,81,0.5,0.5,0.85,Online,454.3965517,469,14.60344828,0.966666667,0.95,-0.016666667,,,,,,,
28754,New Part - Java-First,SPR23,22,Female,Late Bilingual,0.87254902,7,12,3,5,2,20,1,0.87,1,0.7,1,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0.87,1,0.7,1,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.928333333,0.123355854,0.928333333,0.123355854,0.66,0.56,0.76,26,0.807692308,0.916666667,0.833333333,24,0.5,0.230769231,0.692307692,22,0.372881356,6,2,4,0.181818182,36,0.87804878,18,1,17,0.85,7,4,4.5,7,4,4.5,137,8,21,0.552631579,0.8125,0.5000,0.7833,3,99999,99999,99999,99999,99999,99999,1,2,1,0.9875,56,70,russian,1,10,10,english,2,8,8,latvian,1,9,9,0.9167,40,29,11,23,22,125,0.651041667,60,0.8333,46,27,0.625,1,1,Online,668.8448276,664.9655172,-3.879310345,0.966666667,0.966666667,0,,,,,,,
28755,New Part - Java-First,SPR23,19,Female,Early Bilingual,0.960784314,8,19,12,5,0,36,0.71,0.85,0.8,0.7,0.57,0.85,0.33,99999,99999,99999,99999,99999,99999,99999,99999,0.71,0.85,0.8,0.7,0.57,0.85,0.16,99999,99999,99999,99999,99999,99999,99999,99999,0.687142857,0.186074742,0.662857143,0.242879551,0.52,0.64,0.4,26,0.538461538,0.75,0.416666667,24,0.5,0.538461538,0.384615385,4,0.06779661,12,4,8,0.363636364,36,0.87804878,17,0,17,0.85,6,5,5,8,4,4.5,312,83,35,0.921052632,0.8750,0.5000,0.6833,2,99999,99999,99999,99999,99999,99999,3,5,2,0.9500,51,71,english,0,9,8,indonesian,1,6,6,mandarin,3,7,6,0.9,38,27,16,11,24,116,0.604166667,50,0.5,74,91,0.375,0.35,0.85,Online,760.7272727,685.2363636,-75.49090909,0.916666667,0.916666667,0,,,,,,,
28756,New Part - Java-First,SPR23,21,Female,Monolingual,0.838235294,7,19,8,0,0,27,0.85,1,0.9,0.8,0.57,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.85,1,0.9,0.8,0.85,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.853333333,0.160208198,0.9,0.083666003,0.52,0.48,0.56,26,0.730769231,0.75,0.833333333,24,0.291666667,0.230769231,0.307692308,23,0.389830508,14,3,11,0.5,36,0.87804878,17,0,17,0.85,8,6,6,10,5,5.5,164,14,36,0.947368421,1.0000,0.8125,0.8000,2,99999,99999,99999,99999,99999,99999,2,2,0,0.9875,56,60,English,0,10,10,99999,99999,99999,99999,99999,99999,99999,99999,0.5652,34,28,17,20,19,118,0.614583333,50,0.6667,70,85,0.875,0.5,0.6,Online,459.0677966,462.0925926,3.024795982,0.983333333,0.9,-0.083333333,,,,,,,
28757,New Part - Python-First,SPR23,18,Male,Monolingual,1.093137255,9,12,5,0,1,17,1,1,0.5,0.8,0.71,0.85,0.83,0.57,99999,99999,99999,99999,99999,99999,99999,1,1,0.5,0.8,0.71,0.85,0.83,0.57,99999,99999,99999,99999,99999,99999,99999,0.7825,0.182032179,0.7825,0.182032179,0.8,0.76,0.84,32,0.875,1,0.866666667,18,0.666666667,0.4,0.8,38,0.644067797,13,0,13,0.590909091,40,0.975609756,18,0,18,0.9,10,5,5.5,12,5,8,279,75,36,0.947368421,0.6875,0.6250,0.7333,3,99999,99999,99999,99999,99999,99999,0,1,1,0.9875,68,73,English,1,10,10,99999,99999,99999,99999,99999,99999,99999,99999,0.7,42,23,25,20,18,128,0.666666667,65,0.6111,72,88,0.875,0.55,0.85,Online,490.3728814,529.9298246,39.55694321,0.983333333,0.95,-0.033333333,,,,,,,
28758,New Part - Java-First,Dropped Out,20,Female,Early Bilingual,99999,0,0,0,0,2,0,0.85,0.87,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.85,0.87,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.86,0.014142136,0.86,0.014142136,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,8,3,6.5,3,2,2.5,456,97,32,0.842105263,0.7500,0.2500,0.5333,6,99999,99999,99999,99999,99999,99999,10,11,1,0.8750,8,21,english,0,10,10,arabic,,5,5,99999,99999,99999,99999,0.7391,32,29,28,23,18,130,0.677083333,70,0.7222,76,95,0.625,0.7,0.75,Online,536.9122807,565.8431373,28.93085655,0.95,0.85,-0.1,,,,,,,
28759,New Part - Java-First,SPR23,25,Female,Late Bilingual,0.87254902,7,13,9,5,4,27,0.85,0.87,0.8,0.9,0.57,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.85,0.87,0.8,0.9,0.57,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.831666667,0.144418374,0.831666667,0.144418374,0.62,0.64,0.6,26,0.807692308,0.833333333,0.916666667,24,0.416666667,0.461538462,0.307692308,8,0.13559322,10,0,10,0.454545455,36,0.87804878,10,2,8,0.4,8,0,6,12,7,7,224,99999,32,0.842105263,0.6875,0.6250,0.7167,6,99999,99999,99999,99999,99999,99999,8,9,1,0.8875,62,66,english,0,10,10,french,14,5,6,norwegian,8,4,7,0.7143,33,27,17,10,15,102,0.53125,30,0.6667,80,99,0.75,0.7,1,Online,499.1166667,536.6964286,37.5797619,1,0.933333333,-0.066666667,,,,,,,
28760,New Part - Java-First,SPR23,33,Female,Late Bilingual,0.789215686,7,26,23,16,26,65,0.71,1,1,0.9,1,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.71,1,1,0.9,1,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.935,0.117260394,0.935,0.117260394,0.5,0.56,0.44,26,0.730769231,0.833333333,0.75,24,0.25,0.307692308,0.153846154,12,0.203389831,8,5,3,0.136363636,31,0.756097561,17,3,14,0.7,7,3,5.5,7,4,4.5,279,75,23,0.605263158,0.9375,0.8750,0.7667,3,99999,99999,99999,99999,99999,99999,3,3,0,0.9750,55,68,Indonesian,1,10,10,English,15,9,9,Spanish,17,5,99999,0.5833,43,29,22,25,22,141,0.734375,85,0.7222,75,93,0.875,0.6,0.75,Online,488.8793103,518.3275862,29.44827586,0.966666667,0.966666667,0,,,,,,,
28501J,Returning Part - Python-First,WIN23,22,Female,Early Bilingual,0.975490196,9,9,8,2,0,19,1,0.5,1,0.8,0.57,1,0.83,0.71,99999,99999,99999,99999,99999,99999,99999,1,1,1,0.8,0.57,1,0.83,0.71,99999,99999,99999,99999,99999,99999,99999,0.80125,0.197081383,0.86375,0.164485127,0.58,0.56,0.6,32,0.65625,0.733333333,0.666666667,18,0.444444444,0.3,0.5,22,0.372881356,16,1,15,0.681818182,33,0.804878049,15,0,15,0.75,10,6,6.5,9,3,5.5,299,80,99999,99999,0.6875,0.6875,0.7833,3,32,0.4400,18,0.5000,14,0.3900,4,5,1,0.9383,38,54,cantonese,1,10,10,english,2,7,8,mandarine,3,8,10,0.619,36,21,11,17,13,98,0.5104,25,0.7778,33,9,0.375,0.8,0.8,Online,514.91,493.5,-21.41,0.9333,1,0.0667,,,,,,,
28512J,Returning Part - Python-First,SPR23,22,Male,Early Bilingual,1.102941176,9,9,8,3,0,20,1,0.75,0.9,0.9,0.71,1,0.66,0.85,99999,99999,99999,99999,99999,99999,99999,1,0.75,0.9,0.9,0.71,1,0.66,0.85,99999,99999,99999,99999,99999,99999,99999,0.84625,0.128500973,0.84625,0.128500973,0.7,0.64,0.76,32,0.875,0.8,1.066666667,18,0.388888889,0.4,0.3,18,0.305084746,11,6,5,0.227272727,38,0.926829268,15,0,15,0.75,13,7,9,13,7,7.5,164,14,99999,99999,0.2500,0.6875,0.6333,3,35,0.4861,18,0.5000,17,0.4722,9,9,0,0.8765,55,61,cantonese,1,10,10,english,1,9,8,mandarin,3,7,7,0.619,41,25,7,10,15,98,0.5104,25,1,40,18,0.75,0.55,0.7,Original,449.65,467.0701754,17.42017544,1,0.95,-0.05,,,,,,,
28513J,Returning Part - Python-First,WIN23,20,Male,Monolingual,1.102941176,8,14,9,6,0,29,1,1,0.8,0.8,1,0.85,0.5,99999,99999,99999,99999,99999,99999,99999,99999,1,1,0.8,0.8,1,0.85,0.5,99999,99999,99999,99999,99999,99999,99999,99999,0.85,0.180277564,0.85,0.180277564,0.64,0.68,0.6,29,0.689655172,0.785714286,0.642857143,21,0.571428571,0.545454545,0.545454545,20,0.338983051,13,2,11,0.5,31,0.756097561,12,0,12,0.6,12,6,8.5,7,2,4.5,179,19,99999,99999,0.8750,0.3750,0.6667,4,33,0.4600,17,0.4700,16,0.4400,12,13,1,0.8395,20,37,Chinese,1,10,10,English,7,8,8,99999,99999,99999,99999,0.1818,26,24,10,15,9,84,0.4375,15,0.6667,36,12,0.75,0.5,0.6,Original,680.14,714.05,33.91,0.95,0.95,0,,,,,,,
28516J,Returning Part - Python-First,SPR23,25,Female,Late Bilingual,1.254901961,11,9,7,3,0,19,0.57,0.87,0.9,0.8,0.57,0.71,0.66,0.85,0.66,0.8,99999,99999,99999,99999,99999,0.57,0.87,0.9,0.8,0.57,0.71,0.66,0.85,0.66,0.8,99999,99999,99999,99999,99999,0.739,0.121696343,0.739,0.121696343,0.7,0.72,0.68,40,0.775,0.894736842,0.736842105,10,0.4,0.166666667,0.5,30,0.508474576,14,1,13,0.590909091,34,0.829268293,17,0,17,0.85,9,5,7,10,2,5.5,223,43,99999,99999,1.0000,0.3125,0.6167,2,32,0.4444,16,0.4444,16,0.4444,3,3,0,0.9630,75,75,English,5,9,8,Chinese,2,7,8,99999,99999,99999,99999,0.8261,39,29,25,21,15,129,0.6719,65,0.888888889,67,79,0.625,0.8,0.8,Original,665.2542373,660.2711864,-4.983050847,0.983333333,0.983333333,0,,,,,,,
28551J,Returning Part - Python-First,SPR23,30,Female,Late Bilingual,0.774509804,7,23,5,30,0,58,0.85,0.37,0.7,0.7,0.28,0.71,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.85,0.75,0.7,0.7,0.71,0.71,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.601666667,0.223554617,0.736666667,0.058537737,0.34,0.32,0.36,26,0.461538462,0.5,0.5,24,0.208333333,0.153846154,0.230769231,1,0.016949153,7,3,4,0.181818182,8,0.195121951,10,2,8,0.4,10,7,7,10,3,6.5,123,5,99999,99999,0.8750,0.3125,0.6833,6,25,0.3472,13,0.3611,12,0.3333,5,8,3,0.9012,19,33,Cantonese,2,10,10,English,3,9,8,Mandarin,8,10,10,0.5455,37,14,12,17,16,96,0.5,25,0.666666667,40,18,0.375,0.55,0.65,Online,615.3103448,650.1320755,34.82173064,0.966666667,0.883333333,-0.083333333,,,,,,,
28579J,Returning Part - Python-First,WIN23,23,Female,Monolingual,0.661764706,5,10,5,3,0,18,1,0.87,0.9,0.9,,,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0.87,0.9,0.9,,,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.9175,0.056789083,0.9175,0.056789083,0.48,0.44,0.52,17,0.647058824,0.75,0.625,33,0.393939394,0.294117647,0.470588235,5,0.084745763,8,0,8,0.363636364,27,0.658536585,7,3,4,0.2,8,6,6,10,6,6,261,68,99999,99999,0.6875,0.6250,0.8000,2,31,0.4300,20,0.5600,11,0.3100,5,5,0,0.9383,45,67,english,0,10,10,99999,99999,99999,99999,99999,99999,99999,99999,0.913,15,26,21,18,15,95,0.4948,25,0.6667,67,79,0.5,0.75,0.85,Online,506.28,522.41,16.13,1,0.9667,-0.0333,,,,,,,
28590J,Returning Part - Python-First,WIN23,22,Female,Early Bilingual,1.529411765,11,3,1,1,0,5,1,1,0.9,0.8,0.85,0.85,1,0.42,0.83,1,99999,99999,99999,99999,99999,1,1,0.9,0.8,0.85,0.85,1,1,0.83,1,99999,99999,99999,99999,99999,0.865,0.175768155,0.923,0.084728324,0.82,0.8,0.84,40,0.875,0.842105263,1,10,0.6,0.666666667,0.333333333,48,0.813559322,22,0,22,1,40.5,0.987804878,19,0,19,0.95,8,6,6,4,3,3,279,75,99999,99999,1.0000,0.5000,0.7000,1,53,0.7400,25,0.6900,28,0.7800,1,2,1,0.9753,42,63,ENGLISH,3,10,10,MANDARIN,1,9,9,99999,99999,99999,99999,0,38,28,22,33,23,144,0.75,90,0.6667,71,86,0.875,0.35,0.8,Online,644.59,660.72,16.14,0.9667,0.9667,0,,,,,,,
28593J,Returning Part - Python-First,WIN23,21,Female,Monolingual,1.352941176,11,12,7,4,0,23,1,1,0.9,1,0.85,1,0.83,0.71,0.5,0.6,99999,99999,99999,99999,99999,1,1,0.9,1,0.85,1,0.83,0.71,0.5,0.6,99999,99999,99999,99999,99999,0.839,0.181441757,0.839,0.181441757,0.64,0.56,0.72,40,0.75,0.736842105,0.842105263,10,0.2,0,0.333333333,24,0.406779661,14,0,14,0.636363636,38,0.926829268,18,0,18,0.9,14,9,9,13,7,7.5,223,43,99999,99999,1.0000,0.5625,0.6500,3,46,0.6400,23,0.6400,23,0.6400,3,4,1,0.9506,62,70,Manderin,1,10,10,English,6,8,8,99999,99999,99999,99999,0.75,29,27,13,20,15,104,0.5417,30,0.7778,62,66,0.875,0.6,0.9,Online,503.88,468.83,-35.05,0.9833,0.9833,0,,,,,,,
28602J,Returning Part - Python-First,WIN23,19,Female,Monolingual,1.490196078,12,16,1,0,0,17,0.85,1,1,1,0.71,1,0.5,0.85,1,0.8,0.57,99999,99999,99999,99999,0.85,1,1,1,0.71,1,0.5,0.85,1,0.8,0.57,99999,99999,99999,99999,0.843636364,0.183044952,0.843636364,0.183044952,0.74,0.76,0.72,40,0.825,0.894736842,0.842105263,10,0.4,0.333333333,0.333333333,34,0.576271186,15,2,13,0.590909091,37,0.902439024,13,0,13,0.65,10,7,7,9,4,4.5,312,83,99999,99999,0.5625,0.5625,0.7667,3,33,0.4600,17,0.4700,16,0.4400,6,7,1,0.9136,60,67,ENGLISH,TWO,TEN,TEN,99999,99999,99999,99999,99999,99999,99999,99999,0.7143,42,30,15,16,23,126,0.6563,65,0.6111,70,85,0.875,1,99999,Online,616.14,637.55,21.41,0.9667,0.8833,-0.0833,,,,,,,
28703J,Returning Part - Python-First,SPR23,20,Female,Monolingual,1.058823529,9,14,7,1,0,22,0.71,0.75,0.6,0.7,0.71,0.85,0.5,0.71,99999,99999,99999,99999,99999,99999,99999,0.71,0.75,0.6,0.7,0.71,0.85,0.5,0.71,99999,99999,99999,99999,99999,99999,99999,0.69125,0.103293963,0.69125,0.103293963,0.58,0.56,0.6,32,0.625,0.666666667,0.666666667,18,0.5,0.4,0.5,7,0.118644068,10,9,1,0.045454545,30,0.731707317,9,0,9,0.45,11,7,7.5,11,6,6.5,211,39,99999,99999,1.0000,0.6250,0.6833,2,39,0.5417,22,0.6111,17,0.4722,3,3,0,0.9630,49,63,english,1,10,10,99999,99999,99999,99999,99999,99999,99999,99999,1,11,25,24,16,11,87,0.4531,15,0.555555556,61,63,0.875,0.3,0.6,Online,558.6779661,593.8275862,35.14962011,0.983333333,0.966666667,-0.016666667,,,,,,,
28710J,Returning Part - Python-First,SPR23,19,Female,Monolingual,2.083333333,15,3,0,0,0,3,1,1,1,0.9,0.71,1,1,1,0.83,1,0.85,0.8,1,1,99999,1,1,1,0.9,0.71,1,1,1,0.83,1,0.85,0.8,1,1,99999,0.935,0.098586159,0.935,0.098586159,0.86,0.72,1,50,0.86,0.72,1,0,99999,99999,99999,55,0.93220339,22,4,18,0.818181818,39,0.951219512,20,0,20,1,7,5,5.5,10,3,5.5,382,93,99999,99999,0.6875,0.6250,0.7500,1,61,0.8472,31,0.8611,30,0.8333,4,6,2,0.9012,46,59,english,2,10,10,mandarin,14,4,4,99999,99999,99999,99999,0.9167,42,29,20,29,24,144,0.75,90,0.777777778,73,90,0.75,0.8,0.9,Online,558.375,569.6181818,11.24318182,0.933333333,0.916666667,-0.016666667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
